"","SERIALNO","SPORDER","AGEP","SEX","RAC1P","HISP","SCHL","HINCP","VEH","RELP","ADJINC","ST","YEAR"
"298","157137","4",15,2,2,1,13,143000,2,4,1.018237,"9",2011
"299","902438","1",36,2,1,1,22,46900,1,0,1.018389,"12",2008
"300","2017000339446","1",77,2,1,3,21,10000,0,0,1.011189,"12",2017
"301","139681","1",85,2,1,1,19,12100,0,0,1.018389,"12",2008
"302","850564","4",15,1,6,1,12,124000,3,2,1.007624,"12",2010
"303","1319770","1",79,1,1,1,9,19000,1,0,1.016787,"9",2007
"304","685916","2",56,1,1,1,19,35200,2,1,1.008425,"12",2014
"305","1390234","2",76,1,1,1,21,38000,2,15,1.007549,"12",2013
"306","94162","2",51,2,1,1,16,181000,2,1,1.007624,"12",2010
"307","2017001281595","3",11,2,1,1,8,85900,1,2,1.011189,"12",2017
"308","711054","2",52,1,1,1,8,29590,1,2,1.007624,"12",2010
"309","2017001053509","4",13,2,1,4,10,90000,3,2,1.011189,"12",2017
"310","565295","3",20,2,1,1,16,141300,3,2,1.018237,"12",2011
"311","001019160","4",11,1,1,1,8,156200,3,2,1.007588,"12",2016
"312","287074","2",42,1,1,1,19,36000,2,1,1.008425,"12",2014
"313","1209560","1",66,2,1,1,9,19500,1,0,1.016787,"12",2007
"314","500837","5",11,2,1,1,7,62500,3,2,1.007624,"12",2010
"315","415956","2",48,1,2,1,20,154000,1,1,1.007549,"9",2013
"316","932026","1",21,2,1,1,19,0,2,0,1.008425,"12",2014
"317","497631","2",44,1,1,1,1,71500,3,12,1.008425,"12",2014
"318","2017000756743","1",36,1,1,1,18,38000,2,0,1.011189,"12",2017
"319","001423455","1",58,1,1,1,23,192000,1,0,1.007588,"12",2016
"320","155867","3",5,1,1,1,2,216500,2,2,1.010207,"9",2012
"321","810576","4",10,2,1,2,6,42600,2,10,1.001264,"12",2015
"322","70095","1",75,2,1,4,10,15400,0,0,1.007624,"12",2010
"323","1510039","4",4,1,1,1,1,81000,3,2,1.001264,"12",2015
"324","372661","3",11,2,1,1,7,110000,4,2,1.010207,"12",2012
"325","001506129","2",54,1,1,1,21,175000,2,1,1.007588,"12",2016
"326","827641","2",57,2,1,1,22,135520,2,1,0.99948,"12",2009
"327","609385","3",27,1,1,1,16,65900,3,2,1.008425,"12",2014
"328","758361","1",49,2,9,4,23,203500,4,0,1.018389,"12",2008
"329","294436","3",22,1,1,1,19,365500,4,2,1.018389,"9",2008
"330","90065","4",8,1,2,1,2,55200,1,5,1.015675,"12",2006
"331","181212","2",58,2,1,1,18,34400,2,6,1.007624,"12",2010
"332","311016","2",94,2,1,1,1,47700,4,6,1.008425,"12",2014
"333","000087581","2",16,2,2,1,14,56800,2,2,1.007588,"12",2016
"334","109404","4",6,1,1,1,3,137000,2,2,1.008425,"9",2014
"335","2017000576601","1",60,1,1,1,19,58000,2,0,1.011189,"12",2017
"336","289120","2",60,2,1,1,19,183600,4,1,1.001264,"9",2015
"337","598577","1",54,2,1,1,16,45600,1,0,1.007624,"9",2010
"338","515132","3",10,2,1,1,7,52500,2,2,1.008425,"12",2014
"339","1035269","1",94,2,1,4,24,22200,0,0,1.008425,"12",2014
"340","267650","1",58,1,1,1,15,78000,2,0,0.99948,"12",2009
"341","86791","1",72,1,1,1,9,29000,3,0,1.015675,"9",2006
"342","1206274","1",38,2,1,1,16,35000,2,0,1.010207,"12",2012
"343","443524","1",71,1,1,1,12,51700,2,0,1.016787,"12",2007
"344","001160661","1",53,2,1,1,19,52000,4,0,1.007588,"12",2016
"345","1116474","1",40,2,2,1,19,14400,1,0,1.010207,"12",2012
"346","777106","1",82,2,1,1,9,-59999,-1,13,1.016787,"9",2007
"347","1062575","2",66,2,1,1,16,27000,1,1,1.018237,"12",2011
"348","1282473","2",74,1,1,1,16,35000,1,1,1.007549,"12",2013
"349","1464628","4",7,1,2,1,4,96400,2,2,1.001264,"12",2015
"350","366575","2",28,1,1,1,16,94700,4,2,1.001264,"9",2015
"351","1463210","1",75,2,1,1,19,10340,0,0,1.007549,"12",2013
"352","112399","2",67,2,1,1,22,209500,2,13,1.007624,"12",2010
"353","165272","1",19,1,1,1,19,-60000,-1,17,1.008425,"12",2014
"354","567283","1",43,1,1,3,16,75000,3,0,1.001264,"12",2015
"355","1352813","1",57,1,1,1,19,98500,3,0,1.007624,"9",2010
"356","1372926","5",12,1,1,9,9,48100,5,7,1.010207,"12",2012
"357","770999","3",42,1,6,1,21,128301,2,2,1.008425,"12",2014
"358","476777","1",61,2,2,1,19,70000,1,0,1.010207,"12",2012
"359","2017000291351","3",6,1,1,4,2,3e+05,3,2,1.011189,"12",2017
"360","786511","1",73,2,2,1,16,43180,1,0,0.99948,"12",2009
"361","000516317","1",68,1,1,2,21,8000,1,0,1.007588,"12",2016
"362","169220","2",35,2,2,1,22,40000,2,1,1.007549,"12",2013
"363","2017001342155","3",69,2,1,1,16,22000,2,6,1.011189,"12",2017
"364","001201622","2",71,2,1,1,22,88100,1,1,1.007588,"12",2016
"365","1185811","2",74,2,1,1,17,60300,1,1,1.008425,"12",2014
"366","000311183","1",81,2,1,1,16,53960,1,0,1.007588,"12",2016
"367","158202","2",61,1,2,1,20,80000,3,1,1.010207,"12",2012
"368","1007502","1",76,1,1,1,16,33000,1,0,1.008425,"12",2014
"369","709322","5",8,1,1,3,6,116400,3,2,1.010207,"12",2012
"370","130873","2",31,2,1,1,18,44000,2,1,0.99948,"12",2009
"371","1219338","1",61,1,1,17,21,36400,3,0,1.018389,"12",2008
"372","498613","4",4,2,1,1,1,31200,2,2,1.018237,"12",2011
"373","1270372","2",26,2,1,1,21,75000,3,13,0.99948,"12",2009
"374","2017000191458","4",18,1,1,1,19,129300,4,2,1.011189,"12",2017
"375","1155903","2",38,1,1,3,17,140000,2,1,1.007624,"9",2010
"376","1224833","2",39,1,1,1,18,56000,3,5,1.018389,"12",2008
"377","695276","2",32,2,1,1,22,192000,2,13,1.007549,"12",2013
"378","565969","2",68,2,1,1,10,32700,1,1,1.016787,"12",2007
"379","391018","5",60,2,1,1,9,86600,3,4,1.016787,"12",2007
"380","811423","3",22,1,1,3,9,88400,2,12,1.016787,"9",2007
"381","1367978","1",79,1,1,1,22,26900,1,0,1.018237,"12",2011
"382","551331","2",14,1,1,1,4,47600,3,2,1.015675,"12",2006
"383","1465154","2",50,1,2,1,19,1e+05,2,1,1.010207,"12",2012
"384","237977","3",5,1,8,2,2,101000,2,2,1.016787,"12",2007
"385","97793","2",13,2,1,1,11,53000,1,2,1.018389,"12",2008
"386","634229","1",78,2,1,4,15,240000,4,0,1.001264,"12",2015
"387","1349059","2",34,2,1,1,12,132000,2,1,1.016787,"12",2007
"388","937983","1",85,2,1,1,16,12100,1,0,1.018389,"12",2008
"389","268021","4",14,2,1,1,11,44800,2,2,1.001264,"12",2015
"390","1245225","2",60,2,1,1,15,68500,3,1,1.001264,"12",2015
"391","165149","2",42,2,1,1,13,95000,2,1,1.015675,"12",2006
"392","001150488","1",49,2,6,1,16,1e+05,2,0,1.007588,"9",2016
"393","36154","2",36,1,1,1,19,31700,2,7,1.007549,"12",2013
"394","938336","3",6,2,1,1,3,61000,2,2,0.99948,"12",2009
"395","745622","3",25,2,1,1,19,97200,3,12,1.007549,"12",2013
"396","5473","1",72,2,1,1,15,35400,1,0,0.99948,"12",2009
"397","716626","11",15,1,1,2,10,50100,4,10,1.007549,"12",2013
"398","2017001390046","1",89,1,1,1,18,-60000,NA,16,1.011189,"09",2017
"399","232570","3",14,2,1,1,11,38000,2,2,1.018237,"12",2011
"400","11558","1",48,2,1,1,19,5700,1,0,1.010207,"12",2012
"401","784844","2",53,1,1,1,16,33000,3,1,1.007624,"12",2010
"402","648537","1",89,2,1,1,9,41000,1,0,1.015675,"12",2006
"403","1190330","1",45,1,1,4,12,69300,3,0,1.016787,"12",2007
"404","485858","1",87,2,1,1,21,29600,1,0,1.018389,"12",2008
"405","326555","1",60,1,2,1,18,-60000,-1,16,1.007549,"12",2013
"406","244402","1",29,2,1,1,19,15000,1,0,1.001264,"12",2015
"407","998903","6",3,2,1,1,1,82500,3,5,1.015675,"12",2006
"408","1225815","1",31,2,1,1,21,57000,2,0,1.010207,"12",2012
"409","5264","2",57,2,1,1,16,50910,3,1,0.99948,"12",2009
"410","1197184","2",32,1,2,1,16,87000,0,2,1.018389,"12",2008
"411","59428","4",17,1,1,1,16,132300,4,2,1.010207,"12",2012
"412","1336955","1",85,1,1,1,11,35400,1,0,1.015675,"12",2006
"413","855996","2",33,2,1,1,21,62000,2,1,1.008425,"12",2014
"414","375030","1",73,1,1,1,14,246520,1,0,1.016787,"12",2007
"415","877680","2",22,1,2,1,16,53200,2,2,1.010207,"12",2012
"416","169437","2",51,2,1,4,13,188000,5,1,1.016787,"12",2007
"417","2017000051045","1",43,2,5,1,17,110000,3,0,1.011189,"12",2017
"418","1336316","1",71,1,1,1,22,73900,2,0,1.018237,"12",2011
"419","333930","1",63,1,1,1,9,50200,1,0,1.015675,"12",2006
"420","953005","2",44,2,6,1,19,37000,2,1,1.018389,"12",2008
"421","339429","3",68,1,1,1,16,68400,2,15,1.018237,"12",2011
"422","361620","4",11,1,8,2,8,55000,2,2,1.008425,"12",2014
"423","395267","3",54,2,1,1,19,154300,4,2,1.007624,"9",2010
"424","921596","2",43,2,1,4,16,5200,1,2,1.007549,"12",2013
"425","148386","1",80,2,1,1,16,9600,1,0,1.008425,"12",2014
"426","845862","1",89,2,2,1,9,7900,0,0,1.018237,"12",2011
"427","792849","2",67,2,1,1,9,39100,1,1,1.016787,"9",2007
"428","762317","2",61,2,1,1,16,149380,0,1,1.008425,"12",2014
"429","1247651","1",61,1,2,1,20,66500,3,0,1.018237,"12",2011
"430","1308061","3",21,2,1,9,19,112820,2,2,1.018237,"12",2011
"431","189969","1",68,1,1,1,19,51100,2,0,0.99948,"12",2009
"432","169168","1",61,2,1,1,20,10000,1,0,1.010207,"12",2012
"433","596401","1",35,1,1,1,22,196000,2,0,1.007549,"12",2013
"434","357645","1",22,1,1,1,18,-60000,-1,17,1.018237,"9",2011
"435","562580","2",62,2,1,1,20,129000,2,1,0.99948,"12",2009
"436","774431","6",60,1,2,1,16,128300,1,9,1.010207,"12",2012
"437","476140","3",1,2,1,1,0,136000,2,2,1.018389,"12",2008
"438","1491468","3",6,1,1,1,2,150000,2,2,1.007549,"12",2013
"439","1218825","1",51,2,1,1,16,4000,1,0,0.99948,"12",2009
"440","885573","2",81,2,1,1,19,17300,2,1,1.018389,"12",2008
"441","369034","1",48,1,1,1,18,72000,2,0,1.018237,"12",2011
"442","362025","1",33,1,1,1,21,55000,2,0,1.001264,"12",2015
"443","2017000457522","1",61,2,1,1,20,82000,1,0,1.011189,"12",2017
"444","405899","1",56,1,1,4,16,100100,2,0,1.018237,"12",2011
"445","619947","2",82,1,1,1,6,45000,2,4,1.015675,"12",2006
"446","000447964","3",17,1,1,4,12,35600,3,2,1.007588,"12",2016
"447","000773593","4",0,1,1,1,0,88000,2,2,1.007588,"12",2016
"448","440411","4",27,2,1,1,19,95630,4,13,1.007549,"12",2013
"449","855807","3",9,2,1,1,7,37000,1,2,1.007549,"12",2013
"450","000068050","2",48,2,8,7,19,114400,2,1,1.007588,"9",2016
"451","1461980","1",59,1,1,1,20,88500,2,0,1.007549,"12",2013
"452","446613","2",39,2,1,1,22,126000,2,1,1.018389,"12",2008
"453","150508","4",8,2,1,2,5,40000,2,2,1.010207,"12",2012
"454","342609","2",24,1,2,1,16,52000,1,5,1.007624,"12",2010
"455","473648","2",17,1,1,1,14,8400,2,2,1.010207,"12",2012
"456","397326","1",73,2,1,1,22,32590,1,0,1.007549,"12",2013
"457","945782","1",82,1,1,1,20,34200,2,0,1.010207,"12",2012
"458","491527","2",58,2,1,1,22,194000,5,1,1.007549,"12",2013
"459","337170","1",74,2,2,2,11,31000,2,0,0.99948,"12",2009
"460","476783","1",66,1,1,1,18,26300,1,0,1.018237,"12",2011
"461","1091701","1",67,2,2,1,21,2000,1,0,1.008425,"12",2014
"462","893599","3",0,1,1,1,0,77200,2,2,1.016787,"12",2007
"463","1008623","1",55,2,1,1,13,12900,1,0,1.007549,"12",2013
"464","717794","1",40,2,2,1,11,135000,2,0,1.016787,"12",2007
"465","1177901","2",8,2,1,3,5,21600,1,2,0.99948,"12",2009
"466","730243","1",48,1,1,1,4,80000,4,0,1.015675,"9",2006
"467","1260562","1",50,1,1,1,16,58000,3,0,1.018389,"12",2008
"468","642959","2",55,1,1,1,20,77000,2,1,1.001264,"9",2015
"469","1180311","1",41,1,1,1,10,4300,1,0,1.015675,"12",2006
"470","180627","2",50,2,1,3,13,21200,2,2,1.015675,"12",2006
"471","1454768","1",28,2,1,3,21,25000,1,0,1.008425,"12",2014
"472","111574","1",34,1,6,1,21,130000,3,0,0.99948,"9",2009
"473","46183","3",11,1,1,1,3,96000,2,2,1.015675,"12",2006
"474","415936","3",10,1,2,1,6,0,0,2,1.007624,"9",2010
"475","1015160","1",28,2,1,1,20,32000,1,0,0.99948,"12",2009
